"linenumber","fec_committee_id","tran_id","flag_orgind","recipient","last_name","first_name","middle_name","prefix","suffix","address_one","address_two","city","state","zip","date","amount","aggregate_amount","purpose","memo_code","memo_text","cycle"
"SB17","C00840017","500689795","ORG","American Express",,,,,,"200 Vesey St",,"New York","NY","102851000","2024-07-19","584.28",,"Credit Card Payment - See Below if Itemized",,,"2024"
"SB17","C00840017","500689796","ORG","American Express",,,,,,"200 Vesey St",,"New York","NY","102851000","2024-08-16","847.85",,"Credit Card Payment - See Below if Itemized",,,"2024"
"SB17","C00840017","500710412","ORG","American Express",,,,,,"200 Vesey St",,"New York","NY","102851000","2024-09-25","5031.92",,"Credit Card Payment - See Below if Itemized",,,"2024"
"SB17","C00840017","500689989","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-07-07","6624.15",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500689990","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-07-14","6411.21",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500689991","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-07-21","12183.35",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500689992","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-07-28","19680.47",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500689993","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-08-04","15348.37",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500689994","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-08-11","14451.9",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500689995","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-08-15","6392.67",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500689996","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-08-18","7570.8",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500692485","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-08-21","19461.2",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500692546","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-08-25","14575.04",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500692547","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-08-28","17410.47",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500697546","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-09-01","18356.32",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500697553","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-09-05","11906.86",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500697561","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-09-08","14233.52",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500697566","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-09-11","15404.31",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500710870","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-09-15","17723.06",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500710342","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-09-16","4393.9",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500710343","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-09-17","4312.83",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500710344","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-09-18","4650.07",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500710345","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-09-19","4063.12",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500710346","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-09-22","12384.47",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500710347","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-09-23","4104.97",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500710348","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-09-24","6983.86",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500710349","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-09-25","5673.38",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500710350","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-09-26","6096.01",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500710351","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-09-29","17522.53",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500710352","ORG","ActBlue Technical Services",,,,,,"366 Summer St",,"Somerville","MA","021443132","2024-09-30","11109.06",,"Credit Card Fees",,,"2024"
"SB17","C00840017","500673447","ORG","AGP Strategies LLC",,,,,,"PO Box 75443",,"Washington","DC","200130443","2024-07-01","4000",,"Communication Consulting",,,"2024"
"SB17","C00840017","500673448","ORG","AGP Strategies LLC",,,,,,"PO Box 75443",,"Washington","DC","200130443","2024-07-01","2000",,"Communication Consulting",,,"2024"
"SB17","C00840017","500689997","ORG","AGP Strategies LLC",,,,,,"PO Box 75443",,"Washington","DC","200130443","2024-08-08","4000",,"Communication Consulting",,,"2024"
