linenumber,fec_committee_id,transaction_id,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,date,amount,purpose,memo_code,memo_text,cycle
SB17,C00854471,500702826,ORG,SKDKnickerbocker LLC,,,,,,285 Fulton St,Fl 69,New York,NY,100070166,,2024-08-28,55676.0,Media Buy,,,2024
SB21,C00854471,500688607,ORG,Maryland Democratic Party,,,,,,275 West St,Ste 70,Annapolis,MD,214013464,,2024-07-31,50000.0,Unlimited Transfer,,,2024
SB17,C00854471,500708562,ORG,SKDKnickerbocker LLC,,,,,,285 Fulton St,Fl 69,New York,NY,100070166,,2024-09-06,41640.29,Media Buy,,,2024
SB21,C00854471,500708559,ORG,Maryland Democratic Party,,,,,,275 West St,Ste 70,Annapolis,MD,214013464,,2024-09-06,39000.0,Unlimited Transfer,,,2024
SB17,C00854471,500708564,ORG,SKDKnickerbocker LLC,,,,,,285 Fulton St,Fl 69,New York,NY,100070166,,2024-09-17,34112.43,Media Buy,,,2024
SB17,C00854471,500708565,ORG,SKDKnickerbocker LLC,,,,,,285 Fulton St,Fl 69,New York,NY,100070166,,2024-09-23,34112.43,Media Buy,,,2024
SB17,C00854471,500708563,ORG,SKDKnickerbocker LLC,,,,,,285 Fulton St,Fl 69,New York,NY,100070166,,2024-09-11,34112.43,Media Buy,,,2024
SB17,C00854471,500689182,ORG,Hart Research,,,,,,1250 Connecticut Ave NW,Ste 530,Washington,DC,200362603,,2024-07-16,34000.0,Polling Services,,,2024
SB21,C00854471,500708560,ORG,Maryland Democratic Party,,,,,,275 West St,Ste 70,Annapolis,MD,214013464,,2024-09-24,21000.0,Unlimited Transfer,,,2024
SB17,C00854471,500689408,ORG,The Frost Group,,,,,,660 Pennsylvania Ave SE,Ste 202,Washington,DC,200034357,,2024-08-02,12000.0,Fundraising Consulting Services,,,2024
SB17,C00854471,500675935,ORG,The Frost Group,,,,,,660 Pennsylvania Ave SE,Ste 202,Washington,DC,200034357,,2024-07-16,12000.0,Fundraising Consulting Services,,,2024
SB17,C00854471,500702825,ORG,SKDKnickerbocker LLC,,,,,,285 Fulton St,Fl 69,New York,NY,100070166,,2024-08-28,10125.57,Media Buy,,,2024
SB17,C00854471,500689228,ORG,Blueprint Interactive,,,,,,1220 19Th St NW,,Washington,DC,200362405,,2024-08-02,9500.0,Digital Persuasion,,,2024
SB17,C00854471,500689208,ORG,Paychex,,,,,,6870 Shadowridge Dr,Ste 101,Orlando,FL,328129002,,2024-08-14,9166.89,Payroll Taxes,,,2024
SB17,C00854471,500702815,ORG,Paychex,,,,,,6870 Shadowridge Dr,Ste 101,Orlando,FL,328129002,,2024-08-29,8337.61,Payroll Taxes,,,2024
SB17,C00854471,500689206,ORG,Paychex,,,,,,6870 Shadowridge Dr,Ste 101,Orlando,FL,328129002,,2024-07-30,7663.69,Payroll Tax,,,2024
SB17,C00854471,500708420,ORG,Paychex,,,,,,6870 Shadowridge Dr,Ste 101,Orlando,FL,328129002,,2024-09-12,7579.62,Payroll Taxes,,,2024
SB17,C00854471,500708421,ORG,Paychex,,,,,,6870 Shadowridge Dr,Ste 101,Orlando,FL,328129002,,2024-09-27,7554.88,Payroll Taxes,,,2024
SB17,C00854471,500689245,ORG,Mark Weiss Associates,,,,,,4710 Bethesda Ave,,Bethesda,MD,208145213,,2024-07-16,7030.66,Printing,,,2024
SB17,C00854471,500689184,ORG,High Ground Strategies,,,,,,2807 Washington Blvd,,Baltimore,MD,212301440,,2024-07-19,6700.0,Door-to-Door Get-Out-the-Vote Services,,,2024
SB17,C00854471,500702803,ORG,Mark Weiss Associates,,,,,,4710 Bethesda Ave,,Bethesda,MD,208145213,,2024-08-23,5565.08,Printing,,,2024
SB17,C00854471,500689205,ORG,Paychex,,,,,,6870 Shadowridge Dr,Ste 101,Orlando,FL,328129002,,2024-07-12,5460.09,Payroll Tax,,,2024
SB17,C00854471,500689219,ORG,The Pivot Group,,,,,,712 H St NE,# 606,Washington,DC,200023627,,2024-07-16,5273.5,Media Production Services,,,2024
SB17,C00854471,500689213,ORG,"PCMS, LLC",,,,,,910 17Th St NW,Ste 1050,Washington,DC,200062623,,2024-08-02,5005.11,Accounting Services,,,2024
SB17,C00854471,500689212,ORG,"PCMS, LLC",,,,,,910 17Th St NW,Ste 1050,Washington,DC,200062623,,2024-07-19,5003.13,Accounting Services,,,2024
SB17,C00854471,500702786,ORG,Guardian Realty Management,,,,,,6000 Executive Blvd,Ste 400,North Bethesda,MD,208523857,,2024-08-30,3851.48,Rent,,,2024
SB17,C00854471,500689259,ORG,Perry Parkway Associates LP,,,,,,6000 Executive Blvd,Ste 400,Rockville,MD,208523857,,2024-07-31,3681.5,Rent,,,2024
SB17,C00854471,500708424,ORG,Perry Parkway Associates LP,,,,,,6000 Executive Blvd,Ste 400,Rockville,MD,208523857,,2024-09-24,3620.0,Rent,,,2024
SB17,C00854471,500703200,ORG,Actblue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,2024-09-30,3533.17,Credit Card Processing Fee,,,2024
SB17,C00854471,500689241,ORG,Guardian Realty Management,,,,,,6000 Executive Blvd,Ste 400,North Bethesda,MD,208523857,,2024-07-23,3500.0,Office Deposit,,,2024
SB17,C00854471,500708574,IND,,London,Nick,,,,223 W 29Th St,# 1,Baltimore,MD,212112905,,2024-07-30,3495.06,Payroll,,,2024
SB17,C00854471,500708575,IND,,London,Nick,,,,223 W 29Th St,# 1,Baltimore,MD,212112905,,2024-08-14,3495.06,Payroll,,,2024
SB17,C00854471,500708573,IND,,London,Nick,,,,223 W 29Th St,# 1,Baltimore,MD,212112905,,2024-07-12,3495.06,Payroll,,,2024
SB17,C00854471,500708418,IND,,London,Nick,,,,223 W 29Th St,# 1,Baltimore,MD,212112905,,2024-09-27,3495.06,Payroll,,,2024
SB17,C00854471,500708417,IND,,London,Nick,,,,223 W 29Th St,# 1,Baltimore,MD,212112905,,2024-09-12,3495.06,Payroll,,,2024
SB17,C00854471,500708576,IND,,London,Nick,,,,223 W 29Th St,# 1,Baltimore,MD,212112905,,2024-08-29,3495.06,Payroll,,,2024
SB17,C00854471,500689175,IND,,Flannery,Cynthia,,,,4105 Bradley Ln,,Chevy Chase,MD,208155236,,2024-08-14,3466.64,Payroll,,,2024
SB17,C00854471,500702792,ORG,High Ground Strategies,,,,,,2807 Washington Blvd,,Baltimore,MD,212301440,,2024-08-23,3350.0,Door-to-Door Get-Out-the-Vote Services,,,2024
SB20A,C00854471,500675688,IND,,Lennon,Daniel,,,,100 Captains Pl,,Naples,FL,341027702,,2024-07-15,3300.0,Refund of 6/24 Contribution,,,2024
SB20A,C00854471,500686632,IND,,Snedden,Kim,,,,2309 Chain Bridge Rd NW,,Washington,DC,200163301,,2024-08-12,3300.0,Refund of 8/5 Contribution,,,2024
SB17,C00854471,500708434,IND,,Hood,Susan,Kenedy,,,10150 Point Clear Ct,,New Market,MD,217746442,,2024-09-27,3234.66,Payroll,,,2024
SB17,C00854471,500702828,IND,,Hood,Susan,Kenedy,,,10150 Point Clear Ct,,New Market,MD,217746442,,2024-08-29,3234.66,Payroll,,,2024
SB17,C00854471,500689218,IND,,Hood,Susan,Kenedy,,,10150 Point Clear Ct,,New Market,MD,217746442,,2024-08-14,3234.66,Payroll,,,2024
SB17,C00854471,500689217,IND,,Hood,Susan,Kenedy,,,10150 Point Clear Ct,,New Market,MD,217746442,,2024-07-30,3234.66,Payroll,,,2024
SB17,C00854471,500689216,IND,,Hood,Susan,Kenedy,,,10150 Point Clear Ct,,New Market,MD,217746442,,2024-07-12,3234.66,Payroll,,,2024
SB17,C00854471,500708433,IND,,Hood,Susan,Kenedy,,,10150 Point Clear Ct,,New Market,MD,217746442,,2024-09-12,3234.66,Payroll,,,2024
SB17,C00854471,500689172,IND,,Dunn,Chandler,,,,915 L St NW,Apt 1109,Washington,DC,200015431,,2024-08-14,2821.38,Payroll,,,2024
SB17,C00854471,500704934,IND,,Dunn,Chandler,,,,915 L St NW,Apt 1109,Washington,DC,200015431,,2024-09-27,2821.38,Payroll,,,2024
SB17,C00854471,500704933,IND,,Dunn,Chandler,,,,915 L St NW,Apt 1109,Washington,DC,200015431,,2024-09-12,2821.38,Payroll,,,2024
SB17,C00854471,500702775,IND,,Dunn,Chandler,,,,915 L St NW,Apt 1109,Washington,DC,200015431,,2024-08-29,2821.38,Payroll,,,2024
SB17,C00854471,500689171,IND,,Dunn,Chandler,,,,915 L St NW,Apt 1109,Washington,DC,200015431,,2024-07-30,2821.38,Payroll,,,2024
SB17,C00854471,500689170,IND,,Dunn,Chandler,,,,915 L St NW,Apt 1109,Washington,DC,200015431,,2024-07-12,2821.38,Payroll,,,2024
SB17,C00854471,500702783,IND,,Carillo,Diana,,,,12 Valleyside Ct,,Germantown,MD,208741557,,2024-08-29,2626.91,Payroll,,,2024
SB17,C00854471,500708403,IND,,Carillo,Diana,,,,12 Valleyside Ct,,Germantown,MD,208741557,,2024-09-27,2626.91,Payroll,,,2024
SB17,C00854471,500708425,IND,,George,Sanjay,,,,8511 Coltrane Ct,,Ellicott City,MD,210435130,,2024-09-12,2626.91,Payroll,,,2024
SB17,C00854471,500689251,IND,,George,Sanjay,,,,8511 Coltrane Ct,,Ellicott City,MD,210435130,,2024-08-18,2626.91,Payroll,,,2024
SB17,C00854471,500689250,IND,,George,Sanjay,,,,8511 Coltrane Ct,,Ellicott City,MD,210435130,,2024-07-30,2626.9,Payroll,,,2024
SB17,C00854471,500708401,IND,,Carillo,Diana,,,,12 Valleyside Ct,,Germantown,MD,208741557,,2024-09-12,2626.9,Payroll,,,2024
SB17,C00854471,500708426,IND,,George,Sanjay,,,,8511 Coltrane Ct,,Ellicott City,MD,210435130,,2024-09-27,2626.9,Payroll,,,2024
SB17,C00854471,500702820,IND,,George,Sanjay,,,,8511 Coltrane Ct,,Ellicott City,MD,210435130,,2024-08-29,2626.9,Payroll,,,2024
SB17,C00854471,500689232,IND,,Carillo,Diana,,,,12 Valleyside Ct,,Germantown,MD,208741557,,2024-08-14,2626.9,Payroll,,,2024
SB17,C00854471,500689231,IND,,Carillo,Diana,,,,12 Valleyside Ct,,Germantown,MD,208741557,,2024-07-30,2553.42,Payroll,,,2024
SB17,C00854471,500708569,ORG,"Slater And Slater, PC",,,,,,129 W Patrick St,Ste 9,Frederick,MD,217015682,,2024-09-25,2400.0,Rent,,,2024
SB17,C00854471,500702781,IND,,Flannery,Cynthia,,,,4105 Bradley Ln,,Chevy Chase,MD,208155236,,2024-08-29,2346.27,Payroll,,,2024
SB17,C00854471,500704938,IND,,Flannery,Cynthia,,,,4105 Bradley Ln,,Chevy Chase,MD,208155236,,2024-09-27,2346.27,Payroll,,,2024
