"linenumber","fec_committee_id","tran_id","flag_orgind","recipient","last_name","first_name","middle_name","prefix","suffix","address_one","address_two","city","state","zip","date","amount","aggregate_amount","purpose","memo_code","memo_text","cycle"
"SB17","C00869016","HFM1001","ORG","ADVANTAGE",,,,,,"1421 PRINCE ST",,"ALEXANDRIA","VA","22314","2024-07-12","17751.56",,"DATABASE SERVICES",,,"2024"
"SB17","C00869016","HFM1002","ORG","AFRICANDIAS",,,,,,,,,,,"2024-07-15","120",,,,,"2024"
"SB17","C00869016","HFM1003","ORG","AMAZON",,,,,,"440 Terry Ave",,"Seattle","WA","98109","2024-07-02","23.31",,"EVENT SUPPLIES",,,"2024"
"SB17","C00869016","HFM1004","ORG","AMAZON",,,,,,"440 Terry Ave",,"Seattle","WA","98109","2024-08-15","5.71",,"EVENT SUPPLIES",,,"2024"
"SB17","C00869016","HFM1005","ORG","AMAZON",,,,,,"440 Terry Ave",,"Seattle","WA","98109","2024-08-15","68.47",,"EVENT SUPPLIES",,,"2024"
"SB17","C00869016","HFM1006","ORG","AMAZON",,,,,,"440 Terry Ave",,"Seattle","WA","98109","2024-08-15","95.38",,"EVENT SUPPLIES",,,"2024"
"SB17","C00869016","HFM1007","ORG","AMAZON",,,,,,"440 Terry Ave",,"Seattle","WA","98109","2024-08-15","34.23",,"EVENT SUPPLIES",,,"2024"
"SB17","C00869016","HFM1008","ORG","AMAZON",,,,,,"440 Terry Ave",,"Seattle","WA","98109","2024-09-05","21.07",,"EVENT SUPPLIES",,,"2024"
"SB17","C00869016","HFM1009","ORG","AMERICAN AIRLINES",,,,,,"1 Skyview Drive",,"Fort Worth","TX","76155","2024-08-05","119.47",,"TRAVEL FLIGHT EXPENSE",,,"2024"
"SB17","C00869016","HFM1010","ORG","AMERICAN AIRLINES",,,,,,"1 Skyview Drive",,"Fort Worth","TX","76155","2024-08-05","19.82",,"TRAVEL FLIGHT EXPENSE",,,"2024"
"SB17","C00869016","HFM1011","ORG","AMERICAN AIRLINES",,,,,,"1 Skyview Drive",,"Fort Worth","TX","76155","2024-08-05","19.82",,"TRAVEL FLIGHT EXPENSE",,,"2024"
"SB17","C00869016","HFM1012","ORG","AMERICAN AIRLINES",,,,,,"1 Skyview Drive",,"Fort Worth","TX","76155","2024-08-05","119.47",,"TRAVEL FLIGHT EXPENSE",,,"2024"
"SB17","C00869016","HFM1013","ORG","AMERICAN AIRLINES",,,,,,"1 Skyview Drive",,"Fort Worth","TX","76155","2024-08-07","119.47",,"TRAVEL FLIGHT EXPENSE",,,"2024"
"SB17","C00869016","HFM1014","ORG","AMERICAN AIRLINES",,,,,,"1 Skyview Drive",,"Fort Worth","TX","76155","2024-08-07","19.82",,"TRAVEL FLIGHT EXPENSE",,,"2024"
"SB17","C00869016","HFM1015","ORG","AMERICAN AIRLINES",,,,,,"1 Skyview Drive",,"Fort Worth","TX","76155","2024-08-14","503.47",,"TRAVEL FLIGHT EXPENSE",,,"2024"
"SB17","C00869016","HFM1016","ORG","AMERICAN AIRLINES",,,,,,"1 Skyview Drive",,"Fort Worth","TX","76155","2024-08-14","88.61",,"TRAVEL FLIGHT EXPENSE",,,"2024"
"SB17","C00869016","HFM1017","ORG","AMERICAN AIRLINES",,,,,,"1 Skyview Drive",,"Fort Worth","TX","76155","2024-08-14","503.47",,"TRAVEL FLIGHT EXPENSE",,,"2024"
"SB17","C00869016","HFM1018","ORG","AMERICAN AIRLINES",,,,,,"1 Skyview Drive",,"Fort Worth","TX","76155","2024-08-14","503.47",,"TRAVEL FLIGHT EXPENSE",,,"2024"
"SB17","C00869016","HFM1019","ORG","AMERICAN AIRLINES",,,,,,"1 Skyview Drive",,"Fort Worth","TX","76155","2024-08-14","88.61",,"TRAVEL FLIGHT EXPENSE",,,"2024"
"SB17","C00869016","HFM1020","ORG","AMERICAN AIRLINES",,,,,,"1 Skyview Drive",,"Fort Worth","TX","76155","2024-08-14","38.52",,"TRAVEL FLIGHT EXPENSE",,,"2024"
"SB17","C00869016","HFM1021","ORG","AMERICAN AIRLINES",,,,,,"1 Skyview Drive",,"Fort Worth","TX","76155","2024-09-05","508.47",,"TRAVEL FLIGHT EXPENSE",,,"2024"
"SB17","C00869016","HFM1022","ORG","AMERICAN AIRLINES",,,,,,"1 Skyview Drive",,"Fort Worth","TX","76155","2024-09-05","35.02",,"TRAVEL FLIGHT EXPENSE",,,"2024"
"SB17","C00869016","HFM1023","ORG","AMERICAN AIRLINES",,,,,,"1 Skyview Drive",,"Fort Worth","TX","76155","2024-09-18","31.92",,"TRAVEL FLIGHT EXPENSE",,,"2024"
"SB17","C00869016","HFM1024","ORG","AMERICAN AIRLINES",,,,,,"1 Skyview Drive",,"Fort Worth","TX","76155","2024-09-18","31.92",,"TRAVEL FLIGHT EXPENSE",,,"2024"
