linenumber,fec_committee_id,transaction_id,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,date,amount,purpose,memo_code,memo_text,cycle
SB17,C00691931,SB17.51481,ORG,"Strategic Media Placement, Inc.",,,,,,7669 Stagers Loop,,Delaware,OH,43015,,2024-09-16,75000.0,Commercials,,,2024
SB17,C00691931,SB17.51344,ORG,American Express,,,,,,P.O. Box 650448,,Dallas,TX,75265,,2024-09-30,35010.02,,,,2024
SB17,C00691931,SB17.51475,ORG,SLMG LLC,,,,,,1537 EAST ST SOUTH EAST,,WASHINGTON,DC,200032444,,2024-09-20,21500.0,,X,,2024
SB17,C00691931,SB17.51345,ORG,American Express,,,,,,P.O. Box 650448,,Dallas,TX,75265,,2024-09-04,21144.24,Credit Card Payment,,,2024
SB17,C00691931,SB17.51343,ORG,American Express,,,,,,P.O. Box 650448,,Dallas,TX,75265,,2024-09-23,17250.86,,,,2024
SB17,C00691931,SB17.51490,ORG,USPS,,,,,,44 W. Franklin St.,,Hagerstown,MD,21740,,2024-07-13,12990.35,,X,,2024
SB17,C00691931,SB17.51415,ORG,Mercersburg Printing,,,,,,9964 Buchanan Trail W.,,Mercersburg,MD,17236,,2024-08-21,12784.18,Printing,,,2024
SB17,C00691931,SB17.51346,ORG,American Express,,,,,,P.O. Box 650448,,Dallas,TX,75265,,2024-08-05,5573.69,Credit Card Payment,,,2024
SB17,C00691931,SB17.51476,ORG,SLMG LLC,,,,,,1537 EAST ST SOUTH EAST,,WASHINGTON,DC,200032444,,2024-09-20,5500.0,,X,,2024
SB17,C00691931,SB17.51347,ORG,American Express,,,,,,P.O. Box 650448,,Dallas,TX,75265,,2024-07-03,4183.44,Credit Card Payment,,,2024
SB17,C00691931,SB17.51455,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-09-20,4118.0,,X,,2024
SB17,C00691931,SB17.51421,ORG,Papers LLC,,,,,,400 GLENWOOD AVE,,PAWTUCKET,RI,02860,,2024-08-02,1910.74,,X,,2024
SB17,C00691931,SB17.51436,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-08-09,1593.0,,X,,2024
SB17,C00691931,SB17.51491,ORG,USPS,,,,,,44 W. Franklin St.,,Hagerstown,MD,21740,,2024-08-01,1578.61,Postage,,,2024
SB17,C00691931,SB17.51339,ORG,Amazon,,,,,,1516 2nd Ave.,,Seattle,WA,98101,,2024-08-20,1431.6,,X,,2024
SB17,C00691931,SB17.51381,ORG,eBay,,,,,,2065 Hamilton Ave,,San Jose,CA,95125,,2024-08-20,1258.82,,X,,2024
SB17,C00691931,SB17.51461,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-07-26,1217.0,,X,,2024
SB17,C00691931,SB17.51420,ORG,Papers LLC,,,,,,400 GLENWOOD AVE,,PAWTUCKET,RI,02860,,2024-09-11,1125.65,,X,,2024
SB17,C00691931,SB17.51456,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-09-20,1101.0,,X,,2024
SB17,C00691931,SB17.51334,ORG,Amazon,,,,,,1516 2nd Ave.,,Seattle,WA,98101,,2024-06-07,1045.16,,X,,2024
SB17,C00691931,SB17.51492,ORG,USPS,,,,,,44 W. Franklin St.,,Hagerstown,MD,21740,,2024-09-11,1000.0,Postage,,,2024
SB17,C00691931,SB17.51457,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-07-15,999.0,,X,,2024
SB17,C00691931,SB17.51382,ORG,eBay,,,,,,2065 Hamilton Ave,,San Jose,CA,95125,,2024-08-24,923.16,,X,,2024
SB17,C00691931,SB17.51380,ORG,eBay,,,,,,2065 Hamilton Ave,,San Jose,CA,95125,,2024-08-20,900.82,,X,,2024
SB17,C00691931,SB17.51383,ORG,eBay,,,,,,2065 Hamilton Ave,,San Jose,CA,95125,,2024-08-24,845.88,,X,,2024
SB17,C00691931,SB17.51493,ORG,USPS,,,,,,44 W. Franklin St.,,Hagerstown,MD,21740,,2024-08-30,828.83,Postage,,,2024
SB17,C00691931,SB17.51458,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-07-18,769.0,,X,,2024
SB17,C00691931,SB17.51395,ORG,GOP Compliance,,,,,,PO Box 631,,Annapolis,MD,21404,,2024-09-11,750.0,Compliance/Accounting,,,2024
SB17,C00691931,SB17.51394,ORG,GOP Compliance,,,,,,PO Box 631,,Annapolis,MD,21404,,2024-08-26,750.0,Compliance/Accounting,,,2024
SB17,C00691931,SB17.51333,ORG,Amazon,,,,,,1516 2nd Ave.,,Seattle,WA,98101,,2024-09-27,731.39,,X,,2024
SB17,C00691931,SB17.51387,ORG,eBay,,,,,,2065 Hamilton Ave,,San Jose,CA,95125,,2024-09-27,706.51,,X,,2024
SB17,C00691931,SB17.51338,ORG,Amazon,,,,,,1516 2nd Ave.,,Seattle,WA,98101,,2024-08-24,591.7,,X,,2024
