Election Day,17,23,40
AV Counting Boards,0,0,0
EarlRye Vgoisttienrged,0,5,5
VoteTrostal,17,28,45
"Baraga Township, Precinct 1",,,
Election Day,12,28,40
AV Counting Boards,8,31,39
Early Voting,1,1,2
Total,21,60,81
"Baraga Township, Precinct 2",,,
Election Day,18,18,36
AV Counting Boards,10,42,52
Early Voting,0,1,1
Total,28,61,89
"Covington Township,",,,
Precinct 1,,,
Election Day,7,16,23
AV Counting Boards,0,0,0
Early Voting,1,1,2
Total,8,17,25
"L'Anse Township, Precinct 1",,,
Election Day,22,38,60
AV Counting Boards,55,157,212
Early Voting,5,8,13
Hill THoatrapler,82,203,285
