zip,donations,total,NAME,variable,estimate,moe,Donations_Per100
20601,1425,35154.4,ZCTA5 20601,population,25517,1367,55.84512285927029
20602,897,22974.03999999998,ZCTA5 20602,population,26550,1088,33.78531073446327
20603,1449,54640.36000000012,ZCTA5 20603,population,31975,1042,45.316653635652855
20604,58,1159.21,NA,NA,NA,NA,NA
20606,21,293.59999999999997,ZCTA5 20606,population,374,186,56.14973262032086
20607,578,12869.199999999992,ZCTA5 20607,population,10843,810,53.30628054966338
20608,26,960.7,ZCTA5 20608,population,860,191,30.232558139534884
20609,48,2305.4399999999996,ZCTA5 20609,population,1151,285,41.70286707211121
20610,40,2338.0399999999995,NA,NA,NA,NA,NA
20611,35,826.2,ZCTA5 20611,population,1634,338,21.419828641370867
20612,146,717.07,ZCTA5 20612,population,203,146,719.2118226600985
20613,1242,21712.14999999992,ZCTA5 20613,population,14020,956,88.58773181169758
20615,156,2400.2400000000016,ZCTA5 20615,population,421,190,370.54631828978626
20616,292,6938.1399999999985,ZCTA5 20616,population,6389,852,45.703552981687274
20617,122,2581.13,ZCTA5 20617,population,832,260,146.6346153846154
20618,111,3086.189999999999,ZCTA5 20618,population,406,160,273.3990147783251
20619,1321,50741.130000000056,ZCTA5 20619,population,15052,1018,87.76242359819294
20620,163,5863.94,ZCTA5 20620,population,1369,487,119.06501095690285
20621,39,1845.489999999999,ZCTA5 20621,population,960,329,40.625
20622,383,17405.309999999994,ZCTA5 20622,population,6887,865,55.61202265137215
20623,103,2147.4399999999996,ZCTA5 20623,population,2997,349,34.367701034367705
20624,18,727.2300000000001,ZCTA5 20624,population,1409,256,12.7750177430802
20625,26,1835.3699999999997,ZCTA5 20625,population,646,301,40.247678018575854
20626,16,1488.6,ZCTA5 20626,population,304,120,52.63157894736842
20627,3,520.24,NA,NA,NA,NA,NA
20628,88,2661.529999999999,ZCTA5 20628,population,477,275,184.48637316561843
20630,57,8129.480000000001,ZCTA5 20630,population,301,146,189.3687707641196
20632,74,1660.4599999999996,ZCTA5 20632,population,432,187,171.2962962962963
20634,2590,41293.05999999995,ZCTA5 20634,population,6478,969,399.8147576412473
20636,1831,39801.99999999989,ZCTA5 20636,population,10805,1009,169.45858398889402
20637,1342,50569.88999999994,ZCTA5 20637,population,5751,725,233.3507216136324
20639,4060,78700.29000000027,ZCTA5 20639,population,15793,662,257.0759197112645
